marca,modelo,emplacados,acumulado_anual,data
FIAT,DOBLO,1,1,2023-12-2
GM,SPIN,1309,2724,2023-12-2
KIA,CARNIVAL,5,15,2023-12-2
BYD,D1,8,9,2023-12-2
TOYOTA,SIENNA,3,3,2023-12-2
PORSCHE,911,69,148,2023-12-2
BMW,M3,31,64,2023-12-2
FORD,MUSTANG,36,62,2023-12-2
PORSCHE,TAYCAN,26,46,2023-12-2
JAGUAR,F-TYPE,7,17,2023-12-2
PORSCHE,CAYMAN,3,13,2023-12-2
GM,CORVETTE,4,10,2023-12-2
GM,CAMARO,2,6,2023-12-2
DODGE,CHALLENGER,4,5,2023-12-2
HYUNDAI,CRETA,4606,9575,2023-12-2
GM,TRACKER,3769,9065,2023-12-2
VW,T_CROSS,4294,8748,2023-12-2
JEEP,COMPASS,4430,8569,2023-12-2
NISSAN,KICKS,3495,6479,2023-12-2
JEEP,RENEGADE,3019,6068,2023-12-2
TOYOTA,COROLLA_CROSS,3335,5939,2023-12-2
VW,NIVUS,2774,5874,2023-12-2
FIAT,PULSE,2761,5776,2023-12-2
FIAT,FASTBACK,2393,5100,2023-12-2
RENAULT,DUSTER,2152,3647,2023-12-2
JEEP,COMMANDER,1577,2866,2023-12-2
HONDA,HR-V,1709,2407,2023-12-2
VW,TAOS,995,2179,2023-12-2
TOYOTA,HILUX_SW4,915,1852,2023-12-2
CAOA_CHERY,TIGGO_8,577,1165,2023-12-2
VOLVO,XC60,198,775,2023-12-2
CAOA_CHERY,TIGGO_7,375,747,2023-12-2
CAOA_CHERY,TIGGO_5X,293,586,2023-12-2
GM,EQUINOX,269,585,2023-12-2
CITROEN,C4_CACTUS,289,542,2023-12-2
MITSUBISHI,ECLIPSE_CROSS,234,449,2023-12-2
VOLVO,XC40,180,336,2023-12-2
MITSUBISHI,PAJERO,124,262,2023-12-2
PEUGEOT,2008,91,249,2023-12-2
AUDI,Q5,124,224,2023-12-2
AUDI,Q3,119,198,2023-12-2
PORSCHE,CAYENNE,109,189,2023-12-2
BYD,SONG_PLUS,145,178,2023-12-2
PORSCHE,MACAN,92,177,2023-12-2
BMW,X3,53,172,2023-12-2
SUZUKI,JIMNY_SIERRA,99,165,2023-12-2
KIA,STONIC,68,156,2023-12-2
MBENZ,CLASSE_GLB,74,154,2023-12-2
GM,TRAILBLAZER,80,151,2023-12-2
MBENZ,CLASSE_GLA,65,150,2023-12-2
KIA,SPORTAGE,69,149,2023-12-2
BMW,X6,72,146,2023-12-2
VOLVO,XC90,86,143,2023-12-2
BYD,YUAN_PLUS,64,143,2023-12-2
FIAT,MOBI,6384,14666,2023-12-2
RENAULT,KWID,6704,13838,2023-12-2
VW,GOL,741,5300,2023-12-2
VW,FUSCA,15,28,2023-12-2
FIAT,UNO,3,13,2023-12-2
VW,UP,0,3,2023-12-2
FIAT,PALIO,0,2,2023-12-2
FIAT,147,0,1,2023-12-2
GM,CHEVETTE,0,1,2023-12-2
GM,ONIX,8283,21528,2023-12-2
